"epoch","wobbly-elevator-22 - _step","wobbly-elevator-22 - _step__MIN","wobbly-elevator-22 - _step__MAX","wobbly-elevator-22 - val_loss","wobbly-elevator-22 - val_loss__MIN","wobbly-elevator-22 - val_loss__MAX","driven-glitter-23 - _step","driven-glitter-23 - _step__MIN","driven-glitter-23 - _step__MAX","driven-glitter-23 - val_loss","driven-glitter-23 - val_loss__MIN","driven-glitter-23 - val_loss__MAX","breezy-sun-24 - _step","breezy-sun-24 - _step__MIN","breezy-sun-24 - _step__MAX","breezy-sun-24 - val_loss","breezy-sun-24 - val_loss__MIN","breezy-sun-24 - val_loss__MAX","atomic-voice-25 - _step","atomic-voice-25 - _step__MIN","atomic-voice-25 - _step__MAX","atomic-voice-25 - val_loss","atomic-voice-25 - val_loss__MIN","atomic-voice-25 - val_loss__MAX","classic-bee-26 - _step","classic-bee-26 - _step__MIN","classic-bee-26 - _step__MAX","classic-bee-26 - val_loss","classic-bee-26 - val_loss__MIN","classic-bee-26 - val_loss__MAX","usual-deluge-27 - _step","usual-deluge-27 - _step__MIN","usual-deluge-27 - _step__MAX","usual-deluge-27 - val_loss","usual-deluge-27 - val_loss__MIN","usual-deluge-27 - val_loss__MAX","frosty-blaze-28 - _step","frosty-blaze-28 - _step__MIN","frosty-blaze-28 - _step__MAX","frosty-blaze-28 - val_loss","frosty-blaze-28 - val_loss__MIN","frosty-blaze-28 - val_loss__MAX","resilient-cosmos-29 - _step","resilient-cosmos-29 - _step__MIN","resilient-cosmos-29 - _step__MAX","resilient-cosmos-29 - val_loss","resilient-cosmos-29 - val_loss__MIN","resilient-cosmos-29 - val_loss__MAX"
"1","1","1","1","3.7416244885153023","3.7416244885153023","3.7416244885153023","","","","","","","1","1","1","3.29561408357046","3.29561408357046","3.29561408357046","","","","","","","0","0","0","2.9184140604342685","2.9184140604342685","2.9184140604342685","","","","","","","0","0","0","3.0471202677697096","3.0471202677697096","3.0471202677697096","","","","","",""
"2","2","2","2","3.4234748873359715","3.4234748873359715","3.4234748873359715","","","","","","","3","3","3","2.9918873900646585","2.9918873900646585","2.9918873900646585","","","","","","","2","2","2","2.6693731248683696","2.6693731248683696","2.6693731248683696","","","","","","","2","2","2","2.7864860927997634","2.7864860927997634","2.7864860927997634","","","","","",""
"3","3","3","3","3.24086163673566","3.24086163673566","3.24086163673566","","","","","","","5","5","5","2.8461014820805968","2.8461014820805968","2.8461014820805968","","","","","","","4","4","4","2.5675294247822045","2.5675294247822045","2.5675294247822045","","","","","","","4","4","4","2.6715722502521153","2.6715722502521153","2.6715722502521153","","","","","",""
"4","4","4","4","3.120288907426026","3.120288907426026","3.120288907426026","","","","","","","7","7","7","2.756986229065974","2.756986229065974","2.756986229065974","","","","","","","6","6","6","2.522145439066881","2.522145439066881","2.522145439066881","","","","","","","6","6","6","2.6096614490855825","2.6096614490855825","2.6096614490855825","","","","","",""
"5","5","5","5","3.0306327546595213","3.0306327546595213","3.0306327546595213","","","","","","","9","9","9","2.695643864931529","2.695643864931529","2.695643864931529","","","","","","","8","8","8","2.5075492411511755","2.5075492411511755","2.5075492411511755","2","2","2","2.5075492411511755","2.5075492411511755","2.5075492411511755","8","8","8","2.5894305586861797","2.5894305586861797","2.5894305586861797","","","","","",""
"6","6","6","6","2.9696185944071907","2.9696185944071907","2.9696185944071907","","","","","","","11","11","11","2.6683186812928135","2.6683186812928135","2.6683186812928135","","","","","","","10","10","10","2.5144545698109595","2.5144545698109595","2.5144545698109595","","","","","","","10","10","10","2.5651106641124617","2.5651106641124617","2.5651106641124617","2","2","2","2.5651106641124617","2.5651106641124617","2.5651106641124617"
"7","7","7","7","2.9177490786838045","2.9177490786838045","2.9177490786838045","","","","","","","13","13","13","2.6458481165237755","2.6458481165237755","2.6458481165237755","","","","","","","12","12","12","2.5427275788638593","2.5427275788638593","2.5427275788638593","","","","","","","12","12","12","2.5751150816549986","2.5751150816549986","2.5751150816549986","","","","","",""
"8","8","8","8","2.8789431335136957","2.8789431335136957","2.8789431335136957","","","","","","","15","15","15","2.632868923891346","2.632868923891346","2.632868923891346","","","","","","","14","14","14","2.5816488765159584","2.5816488765159584","2.5816488765159584","","","","","","","14","14","14","2.582125717577433","2.582125717577433","2.582125717577433","","","","","",""
"9","9","9","9","2.8503981691230615","2.8503981691230615","2.8503981691230615","","","","","","","17","17","17","2.6274040921754325","2.6274040921754325","2.6274040921754325","","","","","","","16","16","16","2.633674738079673","2.633674738079673","2.633674738079673","","","","","","","16","16","16","2.6068563041702024","2.6068563041702024","2.6068563041702024","","","","","",""
"10","11","11","11","2.827320030119324","2.827320030119324","2.827320030119324","","","","","","","20","20","20","2.6236147289433753","2.6236147289433753","2.6236147289433753","2","2","2","2.6236147289433753","2.6236147289433753","2.6236147289433753","18","18","18","2.7111827575611533","2.7111827575611533","2.7111827575611533","","","","","","","18","18","18","2.6463254211738043","2.6463254211738043","2.6463254211738043","","","","","",""
