"epoch","feasible-lake-90 - _step","feasible-lake-90 - _step__MIN","feasible-lake-90 - _step__MAX","feasible-lake-90 - val_loss","feasible-lake-90 - val_loss__MIN","feasible-lake-90 - val_loss__MAX","laced-dragon-89 - _step","laced-dragon-89 - _step__MIN","laced-dragon-89 - _step__MAX","laced-dragon-89 - val_loss","laced-dragon-89 - val_loss__MIN","laced-dragon-89 - val_loss__MAX","copper-pine-19 - _step","copper-pine-19 - _step__MIN","copper-pine-19 - _step__MAX","copper-pine-19 - val_loss","copper-pine-19 - val_loss__MIN","copper-pine-19 - val_loss__MAX","still-jazz-17 - _step","still-jazz-17 - _step__MIN","still-jazz-17 - _step__MAX","still-jazz-17 - val_loss","still-jazz-17 - val_loss__MIN","still-jazz-17 - val_loss__MAX","electric-sweep-20 - _step","electric-sweep-20 - _step__MIN","electric-sweep-20 - _step__MAX","electric-sweep-20 - val_loss","electric-sweep-20 - val_loss__MIN","electric-sweep-20 - val_loss__MAX","good-sweep-19 - _step","good-sweep-19 - _step__MIN","good-sweep-19 - _step__MAX","good-sweep-19 - val_loss","good-sweep-19 - val_loss__MIN","good-sweep-19 - val_loss__MAX","jumping-sweep-18 - _step","jumping-sweep-18 - _step__MIN","jumping-sweep-18 - _step__MAX","jumping-sweep-18 - val_loss","jumping-sweep-18 - val_loss__MIN","jumping-sweep-18 - val_loss__MAX","graceful-sweep-17 - _step","graceful-sweep-17 - _step__MIN","graceful-sweep-17 - _step__MAX","graceful-sweep-17 - val_loss","graceful-sweep-17 - val_loss__MIN","graceful-sweep-17 - val_loss__MAX","skilled-sweep-16 - _step","skilled-sweep-16 - _step__MIN","skilled-sweep-16 - _step__MAX","skilled-sweep-16 - val_loss","skilled-sweep-16 - val_loss__MIN","skilled-sweep-16 - val_loss__MAX","usual-sweep-15 - _step","usual-sweep-15 - _step__MIN","usual-sweep-15 - _step__MAX","usual-sweep-15 - val_loss","usual-sweep-15 - val_loss__MIN","usual-sweep-15 - val_loss__MAX","cosmic-sweep-14 - _step","cosmic-sweep-14 - _step__MIN","cosmic-sweep-14 - _step__MAX","cosmic-sweep-14 - val_loss","cosmic-sweep-14 - val_loss__MIN","cosmic-sweep-14 - val_loss__MAX","resilient-sweep-13 - _step","resilient-sweep-13 - _step__MIN","resilient-sweep-13 - _step__MAX","resilient-sweep-13 - val_loss","resilient-sweep-13 - val_loss__MIN","resilient-sweep-13 - val_loss__MAX","denim-sweep-12 - _step","denim-sweep-12 - _step__MIN","denim-sweep-12 - _step__MAX","denim-sweep-12 - val_loss","denim-sweep-12 - val_loss__MIN","denim-sweep-12 - val_loss__MAX","earnest-sweep-11 - _step","earnest-sweep-11 - _step__MIN","earnest-sweep-11 - _step__MAX","earnest-sweep-11 - val_loss","earnest-sweep-11 - val_loss__MIN","earnest-sweep-11 - val_loss__MAX","grateful-sweep-10 - _step","grateful-sweep-10 - _step__MIN","grateful-sweep-10 - _step__MAX","grateful-sweep-10 - val_loss","grateful-sweep-10 - val_loss__MIN","grateful-sweep-10 - val_loss__MAX","misunderstood-sweep-9 - _step","misunderstood-sweep-9 - _step__MIN","misunderstood-sweep-9 - _step__MAX","misunderstood-sweep-9 - val_loss","misunderstood-sweep-9 - val_loss__MIN","misunderstood-sweep-9 - val_loss__MAX","brisk-sweep-7 - _step","brisk-sweep-7 - _step__MIN","brisk-sweep-7 - _step__MAX","brisk-sweep-7 - val_loss","brisk-sweep-7 - val_loss__MIN","brisk-sweep-7 - val_loss__MAX","daily-sweep-6 - _step","daily-sweep-6 - _step__MIN","daily-sweep-6 - _step__MAX","daily-sweep-6 - val_loss","daily-sweep-6 - val_loss__MIN","daily-sweep-6 - val_loss__MAX","fresh-sweep-5 - _step","fresh-sweep-5 - _step__MIN","fresh-sweep-5 - _step__MAX","fresh-sweep-5 - val_loss","fresh-sweep-5 - val_loss__MIN","fresh-sweep-5 - val_loss__MAX","expert-sweep-4 - _step","expert-sweep-4 - _step__MIN","expert-sweep-4 - _step__MAX","expert-sweep-4 - val_loss","expert-sweep-4 - val_loss__MIN","expert-sweep-4 - val_loss__MAX","stoic-sweep-3 - _step","stoic-sweep-3 - _step__MIN","stoic-sweep-3 - _step__MAX","stoic-sweep-3 - val_loss","stoic-sweep-3 - val_loss__MIN","stoic-sweep-3 - val_loss__MAX","spring-sweep-2 - _step","spring-sweep-2 - _step__MIN","spring-sweep-2 - _step__MAX","spring-sweep-2 - val_loss","spring-sweep-2 - val_loss__MIN","spring-sweep-2 - val_loss__MAX","comic-sweep-1 - _step","comic-sweep-1 - _step__MIN","comic-sweep-1 - _step__MAX","comic-sweep-1 - val_loss","comic-sweep-1 - val_loss__MIN","comic-sweep-1 - val_loss__MAX","classic-wind-42 - _step","classic-wind-42 - _step__MIN","classic-wind-42 - _step__MAX","classic-wind-42 - val_loss","classic-wind-42 - val_loss__MIN","classic-wind-42 - val_loss__MAX","warm-tree-41 - _step","warm-tree-41 - _step__MIN","warm-tree-41 - _step__MAX","warm-tree-41 - val_loss","warm-tree-41 - val_loss__MIN","warm-tree-41 - val_loss__MAX","lively-grass-33 - _step","lively-grass-33 - _step__MIN","lively-grass-33 - _step__MAX","lively-grass-33 - val_loss","lively-grass-33 - val_loss__MIN","lively-grass-33 - val_loss__MAX","playful-morning-32 - _step","playful-morning-32 - _step__MIN","playful-morning-32 - _step__MAX","playful-morning-32 - val_loss","playful-morning-32 - val_loss__MIN","playful-morning-32 - val_loss__MAX","summer-spaceship-31 - _step","summer-spaceship-31 - _step__MIN","summer-spaceship-31 - _step__MAX","summer-spaceship-31 - val_loss","summer-spaceship-31 - val_loss__MIN","summer-spaceship-31 - val_loss__MAX","solar-glade-30 - _step","solar-glade-30 - _step__MIN","solar-glade-30 - _step__MAX","solar-glade-30 - val_loss","solar-glade-30 - val_loss__MIN","solar-glade-30 - val_loss__MAX","gentle-river-29 - _step","gentle-river-29 - _step__MIN","gentle-river-29 - _step__MAX","gentle-river-29 - val_loss","gentle-river-29 - val_loss__MIN","gentle-river-29 - val_loss__MAX","flowing-gorge-28 - _step","flowing-gorge-28 - _step__MIN","flowing-gorge-28 - _step__MAX","flowing-gorge-28 - val_loss","flowing-gorge-28 - val_loss__MIN","flowing-gorge-28 - val_loss__MAX","hardy-breeze-27 - _step","hardy-breeze-27 - _step__MIN","hardy-breeze-27 - _step__MAX","hardy-breeze-27 - val_loss","hardy-breeze-27 - val_loss__MIN","hardy-breeze-27 - val_loss__MAX","denim-pyramid-26 - _step","denim-pyramid-26 - _step__MIN","denim-pyramid-26 - _step__MAX","denim-pyramid-26 - val_loss","denim-pyramid-26 - val_loss__MIN","denim-pyramid-26 - val_loss__MAX","hopeful-surf-22 - _step","hopeful-surf-22 - _step__MIN","hopeful-surf-22 - _step__MAX","hopeful-surf-22 - val_loss","hopeful-surf-22 - val_loss__MIN","hopeful-surf-22 - val_loss__MAX","crimson-dew-21 - _step","crimson-dew-21 - _step__MIN","crimson-dew-21 - _step__MAX","crimson-dew-21 - val_loss","crimson-dew-21 - val_loss__MIN","crimson-dew-21 - val_loss__MAX","azure-firebrand-20 - _step","azure-firebrand-20 - _step__MIN","azure-firebrand-20 - _step__MAX","azure-firebrand-20 - val_loss","azure-firebrand-20 - val_loss__MIN","azure-firebrand-20 - val_loss__MAX","trim-frog-19 - _step","trim-frog-19 - _step__MIN","trim-frog-19 - _step__MAX","trim-frog-19 - val_loss","trim-frog-19 - val_loss__MIN","trim-frog-19 - val_loss__MAX","prime-surf-16 - _step","prime-surf-16 - _step__MIN","prime-surf-16 - _step__MAX","prime-surf-16 - val_loss","prime-surf-16 - val_loss__MIN","prime-surf-16 - val_loss__MAX"
"1","","","","","","","0","0","0","2.770413758775178","2.770413758775178","2.770413758775178","1","1","1","3.6608481955321963","3.6608481955321963","3.6608481955321963","1","1","1","5.71410377889098","5.71410377889098","5.71410377889098","1","1","1","2.789623262855709","2.789623262855709","2.789623262855709","1","1","1","2.7965591534401195","2.7965591534401195","2.7965591534401195","1","1","1","3.522514707520512","3.522514707520512","3.522514707520512","1","1","1","2.824290136471667","2.824290136471667","2.824290136471667","1","1","1","3.2909346923545204","3.2909346923545204","3.2909346923545204","1","1","1","2.7923506099007773","2.7923506099007773","2.7923506099007773","1","1","1","3.7198741474316646","3.7198741474316646","3.7198741474316646","1","1","1","4.648508964274516","4.648508964274516","4.648508964274516","1","1","1","3.964601462497405","3.964601462497405","3.964601462497405","1","1","1","3.7767369820838805","3.7767369820838805","3.7767369820838805","1","1","1","3.3096934867877748","3.3096934867877748","3.3096934867877748","1","1","1","2.715174395604835","2.715174395604835","2.715174395604835","1","1","1","2.910153958352446","2.910153958352446","2.910153958352446","1","1","1","3.248754818448325","3.248754818448325","3.248754818448325","1","1","1","3.1466407445806213","3.1466407445806213","3.1466407445806213","1","1","1","2.793958986350721","2.793958986350721","2.793958986350721","1","1","1","2.8146048252308473","2.8146048252308473","2.8146048252308473","1","1","1","4.24757027832333","4.24757027832333","4.24757027832333","1","1","1","2.886746853921558","2.886746853921558","2.886746853921558","","","","","","","1","1","1","3.385938553639189","3.385938553639189","3.385938553639189","","","","","","","1","1","1","3.9770305053560047","3.9770305053560047","3.9770305053560047","","","","","","","1","1","1","3.699558226744546","3.699558226744546","3.699558226744546","","","","","","","1","1","1","3.076499542443209","3.076499542443209","3.076499542443209","","","","","","","1","1","1","3.4303335046188916","3.4303335046188916","3.4303335046188916","","","","","","","1","1","1","3.9909545511780915","3.9909545511780915","3.9909545511780915","","","","","","","0","0","0","3.257617689917792","3.257617689917792","3.257617689917792","0","0","0","3.39757775729902","3.39757775729902","3.39757775729902"
"2","","","","","","","2","2","2","2.5779308645684034","2.5779308645684034","2.5779308645684034","2","2","2","3.2942782037779783","3.2942782037779783","3.2942782037779783","2","2","2","5.026194530010812","5.026194530010812","5.026194530010812","2","2","2","2.665956009745745","2.665956009745745","2.665956009745745","2","2","2","2.6485926854448354","2.6485926854448354","2.6485926854448354","2","2","2","3.2305166411900843","3.2305166411900843","3.2305166411900843","2","2","2","2.6783308994637434","2.6783308994637434","2.6783308994637434","2","2","2","3.0127370018599504","3.0127370018599504","3.0127370018599504","2","2","2","2.665010327314417","2.665010327314417","2.665010327314417","2","2","2","3.3602377640449514","3.3602377640449514","3.3602377640449514","2","2","2","4.3430382135624646","4.3430382135624646","4.3430382135624646","2","2","2","3.60003550591958","3.60003550591958","3.60003550591958","2","2","2","3.427563709735281","3.427563709735281","3.427563709735281","2","2","2","3.106105456688201","3.106105456688201","3.106105456688201","2","2","2","2.5992823867184858","2.5992823867184858","2.5992823867184858","2","2","2","2.7149698625241574","2.7149698625241574","2.7149698625241574","2","2","2","2.9817323531444346","2.9817323531444346","2.9817323531444346","2","2","2","2.8820281812670205","2.8820281812670205","2.8820281812670205","2","2","2","2.663681403962879","2.663681403962879","2.663681403962879","2","2","2","2.7212272132430293","2.7212272132430293","2.7212272132430293","2","2","2","3.8775847297074324","3.8775847297074324","3.8775847297074324","2","2","2","2.802204496928287","2.802204496928287","2.802204496928287","","","","","","","2","2","2","3.0887826523468433","3.0887826523468433","3.0887826523468433","","","","","","","2","2","2","3.63559986958545","3.63559986958545","3.63559986958545","","","","","","","2","2","2","3.355246284122822","3.355246284122822","3.355246284122822","","","","","","","3","3","3","2.8042560767991143","2.8042560767991143","2.8042560767991143","","","","","","","3","3","3","3.1030629254884907","3.1030629254884907","3.1030629254884907","","","","","","","2","2","2","3.6484514597172497","3.6484514597172497","3.6484514597172497","","","","","","","2","2","2","2.963972046879225","2.963972046879225","2.963972046879225","2","2","2","3.0879712039961658","3.0879712039961658","3.0879712039961658"
"3","","","","","","","4","4","4","2.4881561423525977","2.4881561423525977","2.4881561423525977","3","3","3","3.1145347776754826","3.1145347776754826","3.1145347776754826","3","3","3","4.700449455506427","4.700449455506427","4.700449455506427","3","3","3","2.6334886468385146","2.6334886468385146","2.6334886468385146","3","3","3","2.613702705086235","2.613702705086235","2.613702705086235","3","3","3","3.056437073885584","3.056437073885584","3.056437073885584","3","3","3","2.648582808019499","2.648582808019499","2.648582808019499","3","3","3","2.8758088407764033","2.8758088407764033","2.8758088407764033","3","3","3","2.6360260405852856","2.6360260405852856","2.6360260405852856","3","3","3","3.1830646411155445","3.1830646411155445","3.1830646411155445","3","3","3","4.133833498536288","4.133833498536288","4.133833498536288","3","3","3","3.4147655483524053","3.4147655483524053","3.4147655483524053","3","3","3","3.245052585201004","3.245052585201004","3.245052585201004","3","3","3","3.029198997837062","3.029198997837062","3.029198997837062","3","3","3","2.622035021245553","2.622035021245553","2.622035021245553","3","3","3","2.6371932306749417","2.6371932306749417","2.6371932306749417","3","3","3","2.845506936864299","2.845506936864299","2.845506936864299","3","3","3","2.7597512845203225","2.7597512845203225","2.7597512845203225","3","3","3","2.637420107908685","2.637420107908685","2.637420107908685","3","3","3","2.715965056448843","2.715965056448843","2.715965056448843","3","3","3","3.6558436746208276","3.6558436746208276","3.6558436746208276","3","3","3","2.7837986097347605","2.7837986097347605","2.7837986097347605","","","","","","","3","3","3","2.9277533093842645","2.9277533093842645","2.9277533093842645","","","","","","","3","3","3","3.4481329817707076","3.4481329817707076","3.4481329817707076","","","","","","","3","3","3","3.159115244409016","3.159115244409016","3.159115244409016","","","","","","","5","5","5","2.6749288201375836","2.6749288201375836","2.6749288201375836","","","","","","","5","5","5","2.926534193748325","2.926534193748325","2.926534193748325","","","","","","","3","3","3","3.4565732776750298","3.4565732776750298","3.4565732776750298","","","","","","","4","4","4","2.8238453534978576","2.8238453534978576","2.8238453534978576","4","4","4","2.9440789222717285","2.9440789222717285","2.9440789222717285"
"4","","","","","","","6","6","6","2.4375204269825614","2.4375204269825614","2.4375204269825614","4","4","4","2.997454283116627","2.997454283116627","2.997454283116627","4","4","4","4.576701174855085","4.576701174855085","4.576701174855085","4","4","4","2.632266042848453","2.632266042848453","2.632266042848453","4","4","4","2.6247250282278167","2.6247250282278167","2.6247250282278167","4","4","4","2.9276233550497275","2.9276233550497275","2.9276233550497275","4","4","4","2.6392430646163128","2.6392430646163128","2.6392430646163128","4","4","4","2.787450055993532","2.787450055993532","2.787450055993532","4","4","4","2.6299198266160206","2.6299198266160206","2.6299198266160206","4","4","4","3.061122294262107","3.061122294262107","3.061122294262107","4","4","4","3.9755650686539883","3.9755650686539883","3.9755650686539883","4","4","4","3.2911553400556","3.2911553400556","3.2911553400556","4","4","4","3.1236218975854597","3.1236218975854597","3.1236218975854597","4","4","4","2.9733156704047996","2.9733156704047996","2.9733156704047996","4","4","4","2.7020034907922166","2.7020034907922166","2.7020034907922166","4","4","4","2.615840813432842","2.615840813432842","2.615840813432842","4","4","4","2.7711705990568523","2.7711705990568523","2.7711705990568523","4","4","4","2.6922133726301536","2.6922133726301536","2.6922133726301536","4","4","4","2.6654311033939697","2.6654311033939697","2.6654311033939697","4","4","4","2.749294917574624","2.749294917574624","2.749294917574624","4","4","4","3.5046972538838426","3.5046972538838426","3.5046972538838426","4","4","4","2.789104772881318","2.789104772881318","2.789104772881318","","","","","","","4","4","4","2.8395078939619407","2.8395078939619407","2.8395078939619407","","","","","","","4","4","4","3.3110251998429834","3.3110251998429834","3.3110251998429834","","","","","","","4","4","4","3.0322359776417227","3.0322359776417227","3.0322359776417227","","","","","","","7","7","7","2.607650273229841","2.607650273229841","2.607650273229841","","","","","","","7","7","7","2.8180285896088937","2.8180285896088937","2.8180285896088937","","","","","","","4","4","4","3.317300760554442","3.317300760554442","3.317300760554442","","","","","","","6","6","6","2.7447117768937193","2.7447117768937193","2.7447117768937193","6","6","6","2.8489538353070047","2.8489538353070047","2.8489538353070047"
"5","","","","","","","8","8","8","2.398455745390956","2.398455745390956","2.398455745390956","5","5","5","2.9098019900516467","2.9098019900516467","2.9098019900516467","5","5","5","4.4941583074656934","4.4941583074656934","4.4941583074656934","5","5","5","2.6524137755112243","2.6524137755112243","2.6524137755112243","5","5","5","2.6593653710722482","2.6593653710722482","2.6593653710722482","5","5","5","2.848902193076531","2.848902193076531","2.848902193076531","5","5","5","2.6511807105744576","2.6511807105744576","2.6511807105744576","5","5","5","2.7327239021235257","2.7327239021235257","2.7327239021235257","5","5","5","2.642960658032166","2.642960658032166","2.642960658032166","5","5","5","2.979579942040744","2.979579942040744","2.979579942040744","5","5","5","3.854875214462375","3.854875214462375","3.854875214462375","5","5","5","3.2007480805235535","3.2007480805235535","3.2007480805235535","5","5","5","3.0306392635491632","3.0306392635491632","3.0306392635491632","5","5","5","2.9660681658533803","2.9660681658533803","2.9660681658533803","5","5","5","2.823691129979156","2.823691129979156","2.823691129979156","5","5","5","2.625084261664354","2.625084261664354","2.625084261664354","5","5","5","2.7165547596067374","2.7165547596067374","2.7165547596067374","5","5","5","2.6497283541817307","2.6497283541817307","2.6497283541817307","5","5","5","2.7132885576915386","2.7132885576915386","2.7132885576915386","5","5","5","2.795662782100871","2.795662782100871","2.795662782100871","5","5","5","3.397267732985677","3.397267732985677","3.397267732985677","5","5","5","2.804608085688908","2.804608085688908","2.804608085688908","","","","","","","5","5","5","2.7745553713351745","2.7745553713351745","2.7745553713351745","","","","","","","5","5","5","3.209085389032352","3.209085389032352","3.209085389032352","","","","","","","5","5","5","2.9363917840655978","2.9363917840655978","2.9363917840655978","","","","","","","9","9","9","2.5815600408408974","2.5815600408408974","2.5815600408408974","","","","","","","9","9","9","2.746375749231681","2.746375749231681","2.746375749231681","","","","","","","5","5","5","3.21695879805368","3.21695879805368","3.21695879805368","","","","","","","9","9","9","2.6959557303392105","2.6959557303392105","2.6959557303392105","8","8","8","2.7896575803957115","2.7896575803957115","2.7896575803957115"
"6","","","","","","","10","10","10","2.3786999073686053","2.3786999073686053","2.3786999073686053","6","6","6","2.8496675420603146","2.8496675420603146","2.8496675420603146","6","6","6","4.414826215123953","4.414826215123953","4.414826215123953","6","6","6","2.6659011098156755","2.6659011098156755","2.6659011098156755","6","6","6","2.718891591754626","2.718891591754626","2.718891591754626","6","6","6","2.784702006317629","2.784702006317629","2.784702006317629","6","6","6","2.6674993931142006","2.6674993931142006","2.6674993931142006","6","6","6","2.691108073528087","2.691108073528087","2.691108073528087","6","6","6","2.6535279017001647","2.6535279017001647","2.6535279017001647","6","6","6","2.9237339328629126","2.9237339328629126","2.9237339328629126","6","6","6","3.7571332198285643","3.7571332198285643","3.7571332198285643","6","6","6","3.126037188601877","3.126037188601877","3.126037188601877","6","6","6","2.9553364516778102","2.9553364516778102","2.9553364516778102","6","6","6","2.9348498693355376","2.9348498693355376","2.9348498693355376","6","6","6","2.9661365881543813","2.9661365881543813","2.9661365881543813","6","6","6","2.6570271007504833","2.6570271007504833","2.6570271007504833","6","6","6","2.6828011216869756","2.6828011216869756","2.6828011216869756","6","6","6","2.6212814393532735","2.6212814393532735","2.6212814393532735","6","6","6","2.7713734670386767","2.7713734670386767","2.7713734670386767","6","6","6","2.847329511630668","2.847329511630668","2.847329511630668","6","6","6","3.312375784214996","3.312375784214996","3.312375784214996","6","6","6","2.818508602043312","2.818508602043312","2.818508602043312","","","","","","","6","6","6","2.7250303108111593","2.7250303108111593","2.7250303108111593","","","","","","","6","6","6","3.1330168214805045","3.1330168214805045","3.1330168214805045","","","","","","","6","6","6","2.8638490224180666","2.8638490224180666","2.8638490224180666","2","2","2","2.5661614392224936","2.5661614392224936","2.5661614392224936","11","11","11","2.5661614392224936","2.5661614392224936","2.5661614392224936","","","","","","","11","11","11","2.6936817543092704","2.6936817543092704","2.6936817543092704","","","","","","","6","6","6","3.141436566823198","3.141436566823198","3.141436566823198","","","","","","","11","11","11","2.677531440414221","2.677531440414221","2.677531440414221","10","10","10","2.7520581270177815","2.7520581270177815","2.7520581270177815"
"7","","","","","","","12","12","12","2.3668112614076504","2.3668112614076504","2.3668112614076504","7","7","7","2.814011840796736","2.814011840796736","2.814011840796736","7","7","7","4.326158780544739","4.326158780544739","4.326158780544739","7","7","7","2.6815705305271598","2.6815705305271598","2.6815705305271598","7","7","7","2.7772576192990224","2.7772576192990224","2.7772576192990224","7","7","7","2.7356633957295835","2.7356633957295835","2.7356633957295835","7","7","7","2.692927910459351","2.692927910459351","2.692927910459351","7","7","7","2.6633469860986962","2.6633469860986962","2.6633469860986962","7","7","7","2.662979068803257","2.662979068803257","2.662979068803257","7","7","7","2.8841111002805353","2.8841111002805353","2.8841111002805353","7","7","7","3.6699047536578844","3.6699047536578844","3.6699047536578844","7","7","7","3.0637607267966818","3.0637607267966818","3.0637607267966818","7","7","7","2.8977529127311943","2.8977529127311943","2.8977529127311943","7","7","7","2.9076155779240893","2.9076155779240893","2.9076155779240893","7","7","7","3.1286593149560047","3.1286593149560047","3.1286593149560047","7","7","7","2.7094401617722106","2.7094401617722106","2.7094401617722106","7","7","7","2.649682963292295","2.649682963292295","2.649682963292295","7","7","7","2.599249415992954","2.599249415992954","2.599249415992954","7","7","7","2.8295106292507706","2.8295106292507706","2.8295106292507706","7","7","7","2.882745050234612","2.882745050234612","2.882745050234612","7","7","7","3.244589265698408","3.244589265698408","3.244589265698408","7","7","7","2.8399534402288524","2.8399534402288524","2.8399534402288524","","","","","","","7","7","7","2.703122650000309","2.703122650000309","2.703122650000309","","","","","","","7","7","7","3.067920371245395","3.067920371245395","3.067920371245395","","","","","","","7","7","7","2.808241839775134","2.808241839775134","2.808241839775134","","","","","","","13","13","13","2.5844939337394317","2.5844939337394317","2.5844939337394317","","","","","","","13","13","13","2.656301119021009","2.656301119021009","2.656301119021009","","","","","","","7","7","7","3.083977666272516","3.083977666272516","3.083977666272516","2","2","2","2.6723281120045663","2.6723281120045663","2.6723281120045663","13","13","13","2.6723281120045663","2.6723281120045663","2.6723281120045663","12","12","12","2.7277728176234826","2.7277728176234826","2.7277728176234826"
"8","","","","","","","14","14","14","2.359430979721498","2.359430979721498","2.359430979721498","8","8","8","2.7820288283273817","2.7820288283273817","2.7820288283273817","8","8","8","4.23612185432236","4.23612185432236","4.23612185432236","8","8","8","2.699514590618195","2.699514590618195","2.699514590618195","8","8","8","2.853283612188804","2.853283612188804","2.853283612188804","8","8","8","2.7025273373748817","2.7025273373748817","2.7025273373748817","8","8","8","2.7108195685633034","2.7108195685633034","2.7108195685633034","8","8","8","2.6423747289018666","2.6423747289018666","2.6423747289018666","8","8","8","2.6890265036867045","2.6890265036867045","2.6890265036867045","8","8","8","2.8562431182201182","2.8562431182201182","2.8562431182201182","8","8","8","3.5972321030530705","3.5972321030530705","3.5972321030530705","8","8","8","3.0110177746219895","3.0110177746219895","3.0110177746219895","8","8","8","2.849217948866421","2.849217948866421","2.849217948866421","8","8","8","2.905457184252839","2.905457184252839","2.905457184252839","8","8","8","3.2740524454670874","3.2740524454670874","3.2740524454670874","8","8","8","2.767066313103486","2.767066313103486","2.767066313103486","8","8","8","2.6369674992649754","2.6369674992649754","2.6369674992649754","8","8","8","2.599821310550232","2.599821310550232","2.599821310550232","8","8","8","2.8960740922850055","2.8960740922850055","2.8960740922850055","8","8","8","2.9289575489548727","2.9289575489548727","2.9289575489548727","8","8","8","3.1901624948338907","3.1901624948338907","3.1901624948338907","8","8","8","2.860253698893619","2.860253698893619","2.860253698893619","","","","","","","8","8","8","2.6753964972289737","2.6753964972289737","2.6753964972289737","","","","","","","8","8","8","3.0154655159477546","3.0154655159477546","3.0154655159477546","","","","","","","8","8","8","2.7663988540389783","2.7663988540389783","2.7663988540389783","","","","","","","15","15","15","2.603812816712778","2.603812816712778","2.603812816712778","","","","","","","15","15","15","2.6333539956027243","2.6333539956027243","2.6333539956027243","","","","","","","8","8","8","3.030077153878984","3.030077153878984","3.030077153878984","","","","","","","15","15","15","2.6800670057940397","2.6800670057940397","2.6800670057940397","14","14","14","2.7014319044992567","2.7014319044992567","2.7014319044992567"
"9","","","","","","","16","16","16","2.35300962097886","2.35300962097886","2.35300962097886","9","9","9","2.75403871995999","2.75403871995999","2.75403871995999","9","9","9","4.151820383201571","4.151820383201571","4.151820383201571","9","9","9","2.724531106512685","2.724531106512685","2.724531106512685","9","9","9","2.932280200962967","2.932280200962967","2.932280200962967","9","9","9","2.682472611534581","2.682472611534581","2.682472611534581","9","9","9","2.7337519300293422","2.7337519300293422","2.7337519300293422","9","9","9","2.6343370945698252","2.6343370945698252","2.6343370945698252","9","9","9","2.6965454594313876","2.6965454594313876","2.6965454594313876","9","9","9","2.8343310556541415","2.8343310556541415","2.8343310556541415","9","9","9","3.537802923742419","3.537802923742419","3.537802923742419","9","9","9","2.96712857447979","2.96712857447979","2.96712857447979","9","9","9","2.8126579786849994","2.8126579786849994","2.8126579786849994","9","9","9","2.8900077723160074","2.8900077723160074","2.8900077723160074","9","9","9","3.408325465854225","3.408325465854225","3.408325465854225","9","9","9","2.8536451001397167","2.8536451001397167","2.8536451001397167","9","9","9","2.6202559972133566","2.6202559972133566","2.6202559972133566","9","9","9","2.599052943169555","2.599052943169555","2.599052943169555","9","9","9","2.9752938355444685","2.9752938355444685","2.9752938355444685","9","9","9","2.980034718554748","2.980034718554748","2.980034718554748","9","9","9","3.141217341971191","3.141217341971191","3.141217341971191","9","9","9","2.87819882464792","2.87819882464792","2.87819882464792","","","","","","","9","9","9","2.6525742415297313","2.6525742415297313","2.6525742415297313","","","","","","","9","9","9","2.9690450071846453","2.9690450071846453","2.9690450071846453","","","","","","","9","9","9","2.7280489831335735","2.7280489831335735","2.7280489831335735","","","","","","","17","17","17","2.643799543661625","2.643799543661625","2.643799543661625","","","","","","","17","17","17","2.6068069632176734","2.6068069632176734","2.6068069632176734","","","","","","","9","9","9","2.982424626391662","2.982424626391662","2.982424626391662","","","","","","","17","17","17","2.6892086637329555","2.6892086637329555","2.6892086637329555","16","16","16","2.6914546516239275","2.6914546516239275","2.6914546516239275"
"10","2","2","2","2.3502468596927413","2.3502468596927413","2.3502468596927413","18","18","18","2.3502468596927413","2.3502468596927413","2.3502468596927413","11","11","11","2.7398377572944934","2.7398377572944934","2.7398377572944934","11","11","11","4.07868084005726","4.07868084005726","4.07868084005726","11","11","11","2.7368471914227723","2.7368471914227723","2.7368471914227723","11","11","11","3.0098952586924925","3.0098952586924925","3.0098952586924925","11","11","11","2.6636340344055327","2.6636340344055327","2.6636340344055327","11","11","11","2.747940905751345","2.747940905751345","2.747940905751345","11","11","11","2.6182981215242402","2.6182981215242402","2.6182981215242402","11","11","11","2.7102381125074086","2.7102381125074086","2.7102381125074086","11","11","11","2.8145655677993453","2.8145655677993453","2.8145655677993453","11","11","11","3.484035811406573","3.484035811406573","3.484035811406573","11","11","11","2.927467736973898","2.927467736973898","2.927467736973898","11","11","11","2.7831001535186957","2.7831001535186957","2.7831001535186957","11","11","11","2.867431729626744","2.867431729626744","2.867431729626744","11","11","11","3.548389786106105","3.548389786106105","3.548389786106105","11","11","11","2.9236318012987286","2.9236318012987286","2.9236318012987286","11","11","11","2.6133705216963006","2.6133705216963006","2.6133705216963006","11","11","11","2.593859175079685","2.593859175079685","2.593859175079685","11","11","11","3.045721992426661","3.045721992426661","3.045721992426661","11","11","11","3.01760619178838","3.01760619178838","3.01760619178838","11","11","11","3.101164885003428","3.101164885003428","3.101164885003428","11","11","11","2.8916144801306047","2.8916144801306047","2.8916144801306047","","","","","","","11","11","11","2.64079181284486","2.64079181284486","2.64079181284486","","","","","","","11","11","11","2.934111301624878","2.934111301624878","2.934111301624878","","","","","","","11","11","11","2.7094289212840494","2.7094289212840494","2.7094289212840494","","","","","","","20","20","20","2.700084245183974","2.700084245183974","2.700084245183974","","","","","","","20","20","20","2.603017977528821","2.603017977528821","2.603017977528821","","","","","","","11","11","11","2.9439915384733486","2.9439915384733486","2.9439915384733486","","","","","","","20","20","20","2.7047275989989856","2.7047275989989856","2.7047275989989856","18","18","18","2.688486491204487","2.688486491204487","2.688486491204487"
